truck_brand,truck_model,truck_year,engine_model,transmission,axle_type,market_price_mex,ubication
Kenworth,T370,2011,Cummins X15,Eaton Fuller 18-speed,52k,528000,Campeche
International,LT625,2014,Cummins ISX15,Allison 3000,40k,538000,Nayarit
Mack,Pinnacle,2016,Mack MP10,Eaton Fuller 18-speed,46k,299000,Quintana Roo
Freightliner,Cascadia,2022,Detroit DD13,Eaton Fuller 10-speed,40k,664000,Aguascalientes
Freightliner,M2 106,2021,Detroit DD13,Allison 4500RDS,40k,864000,Aguascalientes
Volvo,VNL760,2022,Detroit DD13,Allison 4000,46k,576000,Michoacán
Volvo,VNL760,2004,Detroit DD13,Volvo I-Shift,46k,200000,Hidalgo
Volvo,VNL760,2015,Volvo D13,Eaton Fuller 10-speed,40k,432000,Veracruz
Freightliner,Columbia,2021,Mercedes MBE4000,Eaton Fuller 10-speed,46k,713000,Oaxaca
Freightliner,M2 106,2000,Mercedes MBE4000,Allison 4500RDS,52k,262000,Baja California
Peterbilt,389,2002,Cummins X15,Eaton Fuller RTLO-16913A,40k,258000,Tlaxcala
Volvo,VNM,2000,Volvo D13,Allison 4000,46k,210000,Estado de México
Volvo,VNM,2013,Cummins ISX15,Volvo I-Shift,52k,406000,Nayarit
Kenworth,T680,2007,PACCAR MX13,Eaton Fuller RTLO-16718B,46k,419000,Sonora
Peterbilt,579,2006,Cummins X15,Eaton Fuller RTLO-16718B,40k,335000,Nayarit
Volvo,VNL670,2020,Volvo D13,Volvo I-Shift,46k,678000,Chiapas
Kenworth,T800,2015,Cummins X15,Eaton Fuller RTLO-16718B,40k,630000,Ciudad de México
Mack,Anthem,2011,Mack MP7,Eaton Fuller 18-speed,40k,253000,Quintana Roo
Kenworth,T660,2016,PACCAR MX11,Eaton Fuller 13-speed,40k,629000,Querétaro
Peterbilt,579,2003,Cummins X15,Eaton UltraShift,40k,327000,Nuevo León
International,LT625,2019,Cummins ISX15,Eaton Fuller 13-speed,52k,660000,Michoacán
Peterbilt,579,2019,Cummins ISX15,Eaton UltraShift,40k,719000,Quintana Roo
Volvo,VNL670,2009,Cummins ISX15,Eaton Fuller 10-speed,46k,335000,Yucatán
Peterbilt,379,2010,Cummins ISX15,Eaton Fuller RTLO-16718B,52k,450000,Guanajuato
Kenworth,T680,2011,PACCAR MX13,Eaton Fuller 18-speed,46k,521000,Ciudad de México
Freightliner,Cascadia,2017,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,546000,Chiapas
Mack,Pinnacle,2007,Mack MP7,Mack mDRIVE,46k,205000,Oaxaca
Kenworth,T370,2003,Cummins X15,Eaton UltraShift,52k,281000,Nuevo León
Mack,Pinnacle,2009,Mack MP8,Eaton Fuller 18-speed,52k,224000,Veracruz
Volvo,VNL760,2019,Volvo D13,Eaton Fuller 10-speed,40k,554000,Ciudad de México
Volvo,VNL760,2016,Volvo D13,Allison 4000,40k,451000,Chihuahua
Freightliner,M2 106,2012,Mercedes MBE4000,Allison 4500RDS,52k,425000,Puebla
Volvo,VNM,2004,Detroit DD13,Eaton Fuller 10-speed,40k,260000,Nayarit
Kenworth,T660,2020,PACCAR MX11,Eaton UltraShift,52k,974000,Michoacán
Freightliner,M2 106,2015,Cummins X15,Eaton Fuller 10-speed,40k,475000,Coahuila
International,LT625,2007,MaxxForce 15,Allison 3000,46k,393000,Tamaulipas
Kenworth,W900,2021,Cummins ISX15,Eaton Fuller RTLO-16913A,40k,900000,Aguascalientes
Volvo,VNL670,2013,Detroit DD13,Volvo I-Shift,46k,397000,Nayarit
Volvo,VNM,2001,Cummins ISX15,Allison 4000,46k,186000,Nayarit
Volvo,VNM,2000,Cummins ISX15,Volvo I-Shift,46k,137000,Zacatecas
Peterbilt,579,2021,Cummins ISX15,Eaton Fuller 18-speed,40k,689000,Guerrero
Kenworth,T370,2015,Cummins ISX15,Eaton UltraShift,40k,669000,Chiapas
Mack,Pinnacle,2020,Mack MP10,Mack mDRIVE,40k,448000,Chiapas
Volvo,VNL760,2008,Cummins ISX15,Volvo I-Shift,52k,303000,Guerrero
Mack,Anthem,2016,Mack MP8,Eaton Fuller 18-speed,52k,312000,Sonora
Mack,Granite,2002,Mack MP10,Eaton Fuller 13-speed,40k,114000,Querétaro
Mack,Granite,2016,Mack MP10,Eaton Fuller 18-speed,52k,328000,Jalisco
Mack,Granite,2010,Mack MP10,Eaton Fuller 18-speed,46k,240000,Zacatecas
International,LT625,2005,MaxxForce 15,Eaton Fuller 13-speed,46k,317000,Veracruz
Peterbilt,379,2001,Cummins X15,Eaton Fuller RTLO-16913A,46k,214000,Aguascalientes
International,LT625,2022,MaxxForce 15,Eaton Fuller 18-speed,40k,951000,Chiapas
Kenworth,T680,2016,Cummins X15,Eaton Fuller 13-speed,40k,665000,Baja California
Freightliner,Cascadia,2010,Cummins ISX15,Eaton Fuller 13-speed,52k,400000,Jalisco
Kenworth,T800,2021,Cummins X15,Eaton Fuller 13-speed,40k,1033000,Baja California Sur
Freightliner,Cascadia,2018,Cummins ISX15,Allison 4500RDS,40k,541000,Nayarit
Volvo,VNL760,2020,Cummins ISX15,Volvo I-Shift,40k,610000,Colima
Kenworth,T680,2012,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,545000,Sinaloa
Mack,Pinnacle,2010,Mack MP10,Mack mDRIVE,40k,240000,Sonora
International,ProStar,2007,MaxxForce 13,Eaton Fuller 18-speed,40k,385000,Oaxaca
Mack,Granite,2022,Mack MP8,Eaton Fuller 13-speed,40k,383000,Sonora
Peterbilt,379,2022,PACCAR MX11,Eaton Fuller 18-speed,52k,749000,Tamaulipas
Peterbilt,379,2014,Cummins X15,Eaton Fuller RTLO-16913A,52k,517000,Chiapas
Kenworth,T660,2006,PACCAR MX11,Eaton Fuller RTLO-16718B,46k,404000,Guanajuato
Volvo,VNL670,2003,Cummins ISX15,Eaton Fuller 10-speed,40k,220000,Guerrero
International,Durastar,2021,MaxxForce 15,Eaton Fuller 10-speed,52k,761000,Durango
Freightliner,M2 106,2001,Cummins ISX15,Eaton Fuller 13-speed,40k,208000,Chihuahua
Kenworth,T370,2021,PACCAR MX13,Eaton UltraShift,46k,942000,Quintana Roo
Mack,Granite,2022,Mack MP7,Eaton Fuller 18-speed,52k,396000,Nuevo León
Mack,Granite,2019,Mack MP10,Eaton Fuller 18-speed,46k,335000,Querétaro
Mack,Pinnacle,2001,Mack MP10,Eaton Fuller 18-speed,46k,111000,Nuevo León
Volvo,VNL760,2021,Detroit DD13,Allison 4000,40k,571000,Oaxaca
Freightliner,Columbia,2005,Mercedes MBE4000,Eaton Fuller 13-speed,52k,300000,Campeche
Peterbilt,579,2005,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,317000,Quintana Roo
Freightliner,Cascadia,2007,Detroit DD15,Eaton Fuller 10-speed,40k,318000,Yucatán
Kenworth,T660,2010,Cummins ISX15,Eaton UltraShift,52k,500000,Baja California Sur
Mack,Pinnacle,2016,Mack MP7,Eaton Fuller 13-speed,46k,337000,Hidalgo
Peterbilt,579,2001,Cummins X15,Eaton Fuller 18-speed,52k,219000,Aguascalientes
Mack,Anthem,2007,Mack MP10,Mack mDRIVE,40k,187000,Hidalgo
Peterbilt,579,2004,PACCAR MX13,Eaton Fuller 18-speed,52k,298000,Hidalgo
International,ProStar,2012,MaxxForce 15,Eaton Fuller 10-speed,46k,490000,Coahuila
Mack,Pinnacle,2005,Mack MP7,Eaton Fuller 18-speed,52k,168000,Jalisco
Kenworth,T660,2014,Cummins ISX15,Eaton Fuller RTLO-16718B,46k,625000,Puebla
Peterbilt,379,2018,PACCAR MX11,Eaton Fuller 18-speed,52k,616000,Nuevo León
International,Durastar,2014,Cummins ISC 8.3,Eaton Fuller 10-speed,46k,541000,Ciudad de México
Volvo,VNL760,2000,Volvo D13,Volvo I-Shift,52k,216000,Quintana Roo
International,LT625,2001,MaxxForce 15,Allison 4000,52k,265000,Durango
Mack,Anthem,2014,Mack MP7,Eaton Fuller 18-speed,40k,275000,Coahuila
International,9900i,2012,MaxxForce 15,Eaton Fuller 18-speed,52k,497000,Nuevo León
International,LT625,2010,Cummins ISX15,Allison 4000,52k,450000,Veracruz
Freightliner,M2 106,2005,Detroit DD15,Eaton Fuller 13-speed,46k,315000,Guerrero
Freightliner,Cascadia,2000,Cummins X15,Eaton Fuller 13-speed,40k,263000,San Luis Potosí
Freightliner,Cascadia,2008,Cummins ISX15,Allison 4500RDS,46k,337000,Coahuila
Peterbilt,379,2000,PACCAR MX11,Eaton UltraShift,40k,191000,Sonora
Mack,Pinnacle,2000,Mack MP10,Eaton Fuller 13-speed,52k,117000,Nuevo León
Volvo,VNM,2008,Volvo D13,Volvo I-Shift,46k,297000,Oaxaca
Freightliner,Cascadia,2002,Cummins X15,Detroit DT12,46k,195000,Estado de México
Freightliner,FLD120,2001,Cummins ISX15,Detroit DT12,52k,224000,Tabasco
Peterbilt,389,2006,Cummins X15,Eaton UltraShift,40k,324000,Morelos
Peterbilt,389,2017,PACCAR MX13,Eaton Fuller RTLO-16913A,52k,671000,Morelos
Kenworth,W900,2021,PACCAR MX11,Eaton Fuller 13-speed,52k,815000,Tlaxcala
Volvo,VNL760,2022,Detroit DD13,Eaton Fuller 10-speed,52k,589000,Veracruz
Volvo,VNL670,2015,Detroit DD13,Eaton Fuller 13-speed,40k,450000,Hidalgo
Freightliner,Columbia,2021,Cummins X15,Detroit DT12,46k,725000,Veracruz
Kenworth,T370,2022,Cummins ISX15,Eaton Fuller RT-8908LL,46k,1100000,Durango
Kenworth,W900,2017,Cummins ISX15,Eaton Fuller 18-speed,40k,643000,Sinaloa
Peterbilt,379,2007,PACCAR MX11,Eaton Fuller RTLO-16913A,52k,387000,Chiapas
Kenworth,W900,2014,Cummins X15,Eaton Fuller RTLO-16718B,52k,630000,Zacatecas
Mack,Pinnacle,2015,Mack MP7,Eaton Fuller 13-speed,40k,290000,Hidalgo
Freightliner,FLD120,2009,Detroit DD13,Allison 4500RDS,52k,380000,Michoacán
International,ProStar,2017,MaxxForce 15,Eaton Fuller 10-speed,52k,593000,Chiapas
Freightliner,FLD120,2001,Cummins ISX15,Eaton Fuller 10-speed,40k,228000,Chiapas
Mack,Anthem,2001,Mack MP7,Eaton Fuller 18-speed,46k,114000,Querétaro
Kenworth,T680,2013,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,571000,Nuevo León
Kenworth,T680,2012,PACCAR MX13,Eaton Fuller RTLO-16913A,46k,557000,Querétaro
International,LT625,2012,MaxxForce 15,Allison 4000,52k,503000,Chihuahua
Volvo,VNL760,2003,Volvo D13,Eaton Fuller 13-speed,46k,227000,Morelos
Mack,Granite,2011,Mack MP10,Mack mDRIVE,46k,248000,Querétaro
Kenworth,T800,2007,PACCAR MX11,Eaton Fuller 13-speed,40k,409000,Sinaloa
Freightliner,Cascadia,2016,Detroit DD15,Allison 4500RDS,46k,514000,Sonora
Freightliner,M2 106,2021,Cummins ISX15,Detroit DT12,52k,741000,Puebla
Volvo,VNM,2007,Detroit DD13,Allison 4000,40k,296000,Tabasco
Peterbilt,389,2001,Cummins ISX15,Eaton UltraShift,40k,307000,Sonora
International,Durastar,2002,Cummins ISB 6.7,Eaton Fuller 18-speed,40k,216000,Veracruz
Peterbilt,389,2008,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,411000,Colima
Kenworth,T660,2010,Cummins X15,Eaton Fuller RTLO-16718B,40k,500000,Ciudad de México
Peterbilt,379,2017,PACCAR MX13,Eaton Fuller 13-speed,52k,554000,Veracruz
International,Durastar,2004,Cummins ISB 6.7,Eaton Fuller 18-speed,52k,337000,Morelos
Freightliner,Cascadia,2022,Detroit DD13,Eaton Fuller 10-speed,46k,889000,Michoacán
Volvo,VNL670,2022,Volvo D13,Eaton Fuller 13-speed,46k,615000,Coahuila
Peterbilt,389,2008,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,385000,Zacatecas
Kenworth,T680,2020,PACCAR MX11,Eaton Fuller RTLO-16718B,52k,802000,Hidalgo
Peterbilt,389,2022,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,736000,Veracruz
Peterbilt,389,2006,PACCAR MX13,Eaton Fuller 18-speed,40k,316000,Baja California
Peterbilt,389,2022,Cummins ISX15,Eaton Fuller 13-speed,52k,960000,Jalisco
Mack,Anthem,2012,Mack MP8,Mack mDRIVE,40k,268000,Durango
Freightliner,FLD120,2002,Detroit DD15,Eaton Fuller RTLO-16913A,46k,199000,Tabasco
Volvo,VNL760,2002,Detroit DD13,Eaton Fuller 10-speed,46k,247000,Oaxaca
Kenworth,T370,2020,Cummins X15,Eaton Fuller RTLO-16913A,52k,941000,Sinaloa
International,ProStar,2000,MaxxForce 13,Eaton Fuller 18-speed,40k,256000,Hidalgo
Freightliner,M2 106,2017,Mercedes MBE4000,Detroit DT12,40k,600000,Puebla
Kenworth,T660,2003,Cummins X15,Eaton Fuller RT-8908LL,46k,280000,Chiapas
Peterbilt,389,2006,Cummins X15,Eaton Fuller 18-speed,46k,309000,Guerrero
International,9900i,2007,Cummins ISB 6.7,Allison 4000,52k,362000,Querétaro
Volvo,VNL760,2009,Detroit DD13,Eaton Fuller 13-speed,40k,335000,Sonora
Freightliner,FLD120,2005,Mercedes MBE4000,Allison 4500RDS,46k,308000,Jalisco
Kenworth,T800,2019,PACCAR MX11,Eaton Fuller RTLO-16913A,40k,723000,Tabasco
Freightliner,Columbia,2016,Cummins ISX15,Eaton Fuller 13-speed,46k,497000,Guerrero
Kenworth,T660,2003,PACCAR MX11,Eaton Fuller 18-speed,46k,271000,Estado de México
Peterbilt,379,2008,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,413000,Guanajuato
Kenworth,T370,2010,Cummins ISX15,Eaton Fuller RTLO-16718B,52k,500000,Chihuahua
Peterbilt,579,2015,PACCAR MX11,Eaton Fuller RTLO-16718B,46k,539000,Chiapas
Volvo,VNL670,2012,Volvo D13,Eaton Fuller 13-speed,40k,383000,Zacatecas
Peterbilt,389,2002,Cummins X15,Eaton Fuller RTLO-16718B,52k,290000,Guerrero
Mack,Pinnacle,2015,Mack MP7,Eaton Fuller 18-speed,52k,308000,Michoacán
Peterbilt,579,2020,PACCAR MX11,Eaton Fuller 13-speed,52k,823000,Tabasco
Peterbilt,579,2018,Cummins ISX15,Eaton Fuller RTLO-16718B,46k,616000,Zacatecas
Mack,Pinnacle,2017,Mack MP8,Eaton Fuller 13-speed,40k,311000,Tlaxcala
Freightliner,M2 106,2012,Cummins ISX15,Detroit DT12,40k,427000,Morelos
Freightliner,M2 106,2012,Cummins ISX15,Eaton Fuller 13-speed,46k,438000,Ciudad de México
Freightliner,FLD120,2014,Mercedes MBE4000,Allison 4500RDS,46k,459000,Campeche
International,LT625,2003,Cummins ISX15,Eaton Fuller 10-speed,46k,273000,Morelos
Kenworth,T680,2017,PACCAR MX11,Eaton UltraShift,52k,673000,Tlaxcala
Peterbilt,379,2019,PACCAR MX13,Eaton Fuller 13-speed,52k,591000,Tlaxcala
Mack,Pinnacle,2014,Mack MP10,Eaton Fuller 18-speed,46k,284000,Quintana Roo
Mack,Granite,2003,Mack MP7,Eaton Fuller 18-speed,40k,170000,Colima
Volvo,VNL670,2010,Cummins ISX15,Eaton Fuller 10-speed,46k,350000,Oaxaca
Mack,Pinnacle,2002,Mack MP7,Eaton Fuller 13-speed,40k,117000,Puebla
Volvo,VNM,2019,Cummins ISX15,Eaton Fuller 10-speed,40k,589000,Chiapas
Kenworth,T680,2005,Cummins ISX15,Eaton Fuller RTLO-16718B,40k,404000,Baja California Sur
Kenworth,W900,2017,Cummins ISX15,Eaton Fuller 13-speed,52k,635000,Coahuila
Kenworth,T660,2020,Cummins X15,Eaton Fuller RT-8908LL,46k,956000,Nayarit
International,ProStar,2002,Cummins ISB 6.7,Eaton Fuller 10-speed,46k,252000,Hidalgo
Mack,Anthem,2005,Mack MP7,Eaton Fuller 18-speed,46k,180000,Querétaro
Freightliner,M2 106,2007,Cummins ISX15,Allison 4500RDS,40k,329000,Coahuila
Mack,Granite,2013,Mack MP10,Eaton Fuller 18-speed,46k,278000,Zacatecas
Kenworth,T660,2005,PACCAR MX13,Eaton Fuller RT-8908LL,46k,397000,Nuevo León
Kenworth,W900,2013,Cummins X15,Eaton UltraShift,46k,581000,Tamaulipas
Freightliner,M2 106,2017,Cummins X15,Detroit DT12,46k,501000,Aguascalientes
Volvo,VNL760,2000,Volvo D13,Allison 4000,46k,196000,Querétaro
Mack,Pinnacle,2013,Mack MP8,Eaton Fuller 13-speed,52k,263000,Baja California
International,ProStar,2007,Cummins ISX15,Allison 4000,52k,396000,Tabasco
Mack,Anthem,2006,Mack MP10,Mack mDRIVE,46k,169000,Guanajuato
Freightliner,M2 106,2019,Cummins ISX15,Eaton Fuller 13-speed,46k,639000,Sonora
Peterbilt,379,2008,Cummins X15,Eaton Fuller RTLO-16718B,46k,384000,Estado de México
International,Durastar,2011,Cummins ISC 8.3,Eaton Fuller 10-speed,40k,466000,Nuevo León
Mack,Anthem,2007,Mack MP7,Eaton Fuller 18-speed,40k,211000,Quintana Roo
International,LT625,2005,MaxxForce 15,Eaton Fuller 18-speed,46k,281000,Chiapas
Kenworth,T800,2002,Cummins X15,Eaton Fuller RTLO-16718B,52k,329000,Baja California Sur
Mack,Pinnacle,2014,Mack MP7,Eaton Fuller 18-speed,40k,302000,Veracruz
Freightliner,Cascadia,2019,Mercedes MBE4000,Eaton Fuller 10-speed,46k,595000,Oaxaca
Freightliner,Cascadia,2018,Detroit DD13,Eaton Fuller 10-speed,46k,555000,Puebla
International,LT625,2014,MaxxForce 15,Allison 3000,46k,523000,Ciudad de México
Peterbilt,389,2021,PACCAR MX13,Eaton Fuller 13-speed,52k,841000,Guerrero
Kenworth,T800,2007,Cummins X15,Eaton UltraShift,52k,426000,Durango
Mack,Granite,2022,Mack MP7,Mack mDRIVE,46k,434000,Guerrero
Volvo,VNM,2013,Detroit DD13,Volvo I-Shift,46k,388000,Ciudad de México
Peterbilt,579,2001,Cummins ISX15,Eaton UltraShift,40k,236000,Yucatán
International,9900i,2003,Cummins ISC 8.3,Eaton Fuller 18-speed,46k,287000,Baja California Sur
Freightliner,Cascadia,2009,Cummins X15,Detroit DT12,40k,379000,Chiapas
Peterbilt,579,2021,Cummins X15,Eaton Fuller 13-speed,40k,902000,Estado de México
Volvo,VNL670,2016,Detroit DD13,Eaton Fuller 10-speed,46k,459000,Guanajuato
International,LT625,2013,MaxxForce 15,Eaton Fuller 10-speed,52k,533000,Chiapas
Volvo,VNL670,2022,Detroit DD13,Eaton Fuller 13-speed,40k,561000,Puebla
Peterbilt,389,2011,PACCAR MX11,Eaton Fuller 13-speed,40k,477000,Nayarit
Peterbilt,389,2001,PACCAR MX13,Eaton Fuller RTLO-16718B,40k,236000,Sinaloa
Peterbilt,389,2022,Cummins X15,Eaton Fuller 13-speed,52k,735000,Zacatecas
Freightliner,Columbia,2022,Detroit DD15,Allison 4500RDS,40k,809000,Quintana Roo
Volvo,VNM,2021,Detroit DD13,Eaton Fuller 13-speed,40k,738000,Quintana Roo
Mack,Granite,2017,Mack MP7,Eaton Fuller 13-speed,52k,345000,Coahuila
Peterbilt,579,2013,Cummins X15,Eaton Fuller RTLO-16913A,40k,533000,Nuevo León
Mack,Anthem,2015,Mack MP7,Mack mDRIVE,46k,306000,Veracruz
Freightliner,M2 106,2005,Detroit DD13,Detroit DT12,40k,259000,Sinaloa
Kenworth,T370,2012,Cummins ISX15,Eaton Fuller RTLO-16913A,52k,551000,Campeche
Mack,Granite,2003,Mack MP8,Eaton Fuller 18-speed,46k,136000,Baja California
Kenworth,T800,2012,Cummins ISX15,Eaton Fuller RTLO-16913A,46k,551000,Querétaro
Volvo,VNM,2000,Cummins ISX15,Eaton Fuller 10-speed,52k,190000,Puebla
Volvo,VNL670,2000,Volvo D13,Allison 4000,40k,207000,Baja California Sur
Freightliner,FLD120,2002,Detroit DD15,Eaton Fuller RTLO-16913A,46k,246000,Colima
Freightliner,M2 106,2015,Detroit DD15,Eaton Fuller 10-speed,40k,487000,Tlaxcala
International,ProStar,2001,Cummins ISC 8.3,Allison 3000,52k,216000,Estado de México
Mack,Granite,2017,Mack MP10,Eaton Fuller 18-speed,40k,307000,Puebla
Volvo,VNM,2003,Detroit DD13,Eaton Fuller 10-speed,52k,185000,Campeche
Mack,Pinnacle,2001,Mack MP8,Mack mDRIVE,40k,121000,Oaxaca
Volvo,VNM,2002,Cummins ISX15,Allison 4000,46k,213000,Nayarit
Volvo,VNL760,2010,Detroit DD13,Eaton Fuller 10-speed,46k,350000,Ciudad de México
Volvo,VNM,2006,Detroit DD13,Allison 4000,40k,286000,Durango
International,9900i,2003,MaxxForce 13,Allison 3000,40k,325000,Durango
Volvo,VNM,2021,Cummins ISX15,Volvo I-Shift,46k,574000,Tamaulipas
Freightliner,M2 106,2009,Detroit DD13,Eaton Fuller RTLO-16913A,52k,378000,Chiapas
Peterbilt,379,2009,PACCAR MX13,Eaton Fuller RTLO-16718B,52k,429000,Campeche
Freightliner,Cascadia,2014,Detroit DD13,Eaton Fuller 13-speed,46k,462000,Aguascalientes
Kenworth,T370,2014,Cummins ISX15,Eaton Fuller 13-speed,52k,606000,Zacatecas
Kenworth,T370,2001,Cummins X15,Eaton Fuller RT-8908LL,52k,251000,Puebla
Freightliner,Columbia,2006,Detroit DD13,Detroit DT12,52k,316000,Ciudad de México
Mack,Pinnacle,2003,Mack MP8,Eaton Fuller 13-speed,46k,163000,Zacatecas
Mack,Anthem,2000,Mack MP10,Mack mDRIVE,40k,133000,Tabasco
International,ProStar,2016,Cummins ISB 6.7,Eaton Fuller 13-speed,40k,560000,Guanajuato
Volvo,VNL760,2007,Cummins ISX15,Eaton Fuller 10-speed,46k,294000,Guanajuato
Peterbilt,389,2005,PACCAR MX11,Eaton Fuller 13-speed,46k,317000,Chihuahua
Freightliner,FLD120,2019,Cummins X15,Eaton Fuller RTLO-16913A,40k,615000,Guerrero
Kenworth,T680,2022,Cummins X15,Eaton Fuller 13-speed,40k,1041000,Michoacán
Mack,Anthem,2022,Mack MP10,Eaton Fuller 13-speed,40k,534000,Oaxaca
Kenworth,T370,2019,PACCAR MX11,Eaton UltraShift,46k,794000,Coahuila
Kenworth,T370,2015,Cummins X15,Eaton UltraShift,46k,583000,Tlaxcala
Kenworth,T680,2012,PACCAR MX11,Eaton Fuller RTLO-16913A,40k,560000,Baja California
Kenworth,T660,2010,Cummins ISX15,Eaton Fuller 13-speed,46k,500000,Quintana Roo
Freightliner,M2 106,2017,Cummins ISX15,Eaton Fuller 13-speed,52k,552000,Querétaro
International,LT625,2011,MaxxForce 13,Eaton Fuller 13-speed,46k,472000,Nayarit
Mack,Granite,2013,Mack MP8,Eaton Fuller 18-speed,52k,281000,Oaxaca
Volvo,VNM,2001,Detroit DD13,Eaton Fuller 13-speed,52k,153000,Nayarit
Freightliner,M2 106,2009,Detroit DD13,Eaton Fuller RTLO-16913A,40k,367000,Tlaxcala
International,Durastar,2013,MaxxForce 13,Allison 4000,52k,509000,Baja California Sur
